,LR_prediction,NB_prediction,RF_prediction,TB_prediction,original_sentiment,vader_sentiment,tweet
0,neutral,neutral,neutral,neutral,neutral,neutral,What are we drinking today @TucanTribe  @MadBears_  @lkinc_algo  @al_goanna   #WorldCup2022 https://t.co/Oga3TzvG5h
1,positive,negative,neutral,positive,positive,positive,Amazing @CanadaSoccerEN  #WorldCup2022 launch video. Shows how much the face of Canada and our men’s national team have changed since our last World Cup entry in 1986.  Can’t wait to see these boys in action!  This is Canada: FIFA World Cup Opening Video https://t.co/7g73vvwtg8
2,positive,neutral,positive,positive,positive,positive,Worth reading while watching #WorldCup2022 https://t.co/1SQrNa2dYU
3,positive,neutral,positive,positive,positive,positive,Golden Maknae shinning bright  https://t.co/4AyZbzGTX4 #JeonJungkook #Jungkook #전정국 #정국 #JK #GoldenMaknae #bunny #Kookie #Jungshook #BTS #방탄소년단 #WorldCup2022 #FIFAKOOK  @BTS_twt
4,positive,neutral,neutral,negative,negative,neutral,"If the BBC cares so much about human rights, homosexual rights, and women rights then why not say these before the opening ceremony?? Why are they saying these during the opening ceremony?? Why did the BBC censor the #WorldCup2022 opening ceremony?? https://t.co/f72P03ZN2k"
5,neutral,neutral,negative,negative,negative,negative,"And like, will the mexican fans be able to scream ""PUTO"" now? Or is that too homophobic for qatar? @FIFAWorldCup #WorldCup2022"
6,positive,positive,neutral,neutral,neutral,positive,Look like a only me and the Jamaican football team naw follow up worldcup #WorldCup2022
7,positive,neutral,negative,neutral,negative,neutral,Really? Football on a Monday morning at 9 and 12 and then 3? I need to pinch myself. Is it really happening?  #WorldCup2022
8,neutral,negative,neutral,neutral,positive,negative,"As the World Cup starts in Qatar, it’s Black Awareness Day in Brazil✊🏽. Despite the atrocities linked to this year’s host and to Fifa, soccer is so fundamental for lower classes, mostly Black and Brown, as Vini Jr identifies #WorldCup2022 #diadaconsciencianegra #CopaDoMundo2022 https://t.co/8mI9UqNWX7"
9,positive,negative,positive,positive,positive,positive,#WorldCup2022 @ITVSport &amp; @LFSYSTEMMUSIC go together so well ‘Hungry For Your Love’🫶 ⚽️👌
10,positive,negative,neutral,negative,negative,positive,"#Qatar tried to help its useless soccer team 5 minutes into the inaugural game, by denying an undoubtedly perfectly good goal to #Ecuador @ #WorldCup2022   This world cup host is a #FAIL https://t.co/Y2YwlQQwFE"
11,negative,negative,neutral,positive,positive,positive,What a happy night @socios @Socios_Turkiye  #CHZ $PFL #socios #WorldCup2022 https://t.co/1sDsWvrztU
12,positive,negative,positive,positive,positive,neutral,Let’s go #TeamUSA 🇺🇸🇺🇸🇺🇸#WorldCup2022
13,positive,positive,negative,positive,positive,negative,Tyler Adams will have a CAPTAIN moment this #WorldCup2022. A moment that he puts #USMNT on his back… and hits a banger that makes him a household name. Bookmark it bitches.
14,neutral,neutral,neutral,positive,positive,positive,This is a good and promising project.should all look forward to the success of this project❤  @Sunita266 @SashikantaPatt9 @naresh661302  #TopGoal #BNBChain #WorldCup2022 https://t.co/BwAhRxRkBb
15,positive,negative,neutral,neutral,neutral,neutral,What is your World Cup prediction? We have 🇩🇪 über 🇧🇪 in the Final. #GER #BEL #WorldCup2022
16,neutral,positive,positive,neutral,neutral,negative,"RT @Quicktake Qatari officials are set to ban the sale of alcohol within #WorldCup2022 stadiums, dramatically reversing a decision to allow sales of Budweiser beer.  @SimoneFoxman has the latest https://t.co/3iyP1Tj98S https://t.co/Dx2naRMhFm"
17,positive,positive,positive,neutral,neutral,neutral,"Nicki Minaj, Maluma &amp; Myriam unite for #WorldCup2022 anthem #TukohTaka. https://t.co/K9pC8Hcada"
18,neutral,positive,positive,neutral,positive,positive,Ready for Day 2 ✌🏻 #QatarWorldCup2022  #WorldCup2022  #NED https://t.co/NVYnSIWlZq
19,neutral,positive,positive,negative,negative,negative,@ALosersLament @Majstar7 @piersmorgan racist uncultured inbreed fool you prove to be. just saying #WorldCup2022
20,positive,positive,neutral,neutral,neutral,neutral,Hey @AlphonsoDavies how’s the hamstring?   #CanadaSoccer #WorldCup2022 #FIFAWorldCup2022 #Davies
21,positive,positive,positive,negative,negative,negative,@realDonaldTrump @DonaldJTrumpJr  both can suck my dick! #RT #LaurenBoebert #WorldCup2022 #ukrainecounteroffensive https://t.co/qVRtGje0DI
22,neutral,positive,positive,neutral,neutral,negative,"SBS drama &lt;#CheerUp&gt; reportedly to cancel the broadcast on 11/21, 11/22 and 11/28 due to #WorldCup2022, the episode 12 will air on 11/29.  #BaeInHyuk #HanJiHyun #KimHyunJin #JangGyuRi #LeeEunSaem https://t.co/43z8pxcAPX"
23,neutral,negative,positive,neutral,neutral,neutral,Cameroon✅ @FecafootOfficie #WorldCup2022 https://t.co/BvkxIlZRlG
24,neutral,negative,neutral,positive,positive,positive,Exciting things are happening at #Sporten headquarters🎉🎈🎊.   Don’t miss the opportunity and see you at the #WorldCup2022  ⚽️!!!!  #FIFAWorldCupQatar2022 #QatarWorldCup2022 #Airdrop $BALL https://t.co/kRkOd93baJ
25,positive,neutral,negative,neutral,neutral,neutral,JUNGKOOK  at the opening ceremony  of the World Cup #bts #btsarmy #jungkook #worldcup #worldcup2022 #bts_army #fifaworldcup #qatar2022 #qatar #football #soccer #w杯 #ジョングク #グク  #taehyung #ワールドカップ #カタールw杯 #カタール #qatar🇶🇦 #worldcup2018 #fyp #fypシ https://t.co/MeeUVxRKiZ
26,neutral,negative,neutral,positive,positive,positive,Italy Vs France. Much better than watching #WorldCup2022 https://t.co/tCjx3TnL8n
27,positive,negative,neutral,negative,positive,positive,Well that was fun. When you never qualify on your own and FIFA just gifts it to you for your oil money you get a taste of reality real quick. #WorldCup #WorldCup2022 #QatarvsEcuador
28,neutral,negative,neutral,positive,positive,positive,"Diversity, passion, incredible support- these are our beauty and strength! Love this, and I can't wait to cheer for my boys tomorrow!   I Believe! COME ON YOU YANKS!!! 🔥🇺🇸⚽️  #USMNT #WorldCup2022 https://t.co/x4NHKKmkwT"
29,negative,positive,neutral,negative,negative,positive,We do not need hypocritical medias with double standards #WorldCup2022
30,negative,positive,neutral,positive,positive,positive,Let’s direct the same passion we pour into #WorldCup2022 toward #NetZero #BanFossilFuel #ClimateCrisis so our children can still live on this planet! https://t.co/XPbpktVc4u
31,negative,negative,positive,positive,positive,positive,"While in the waiting room at Urgent Care, a woman saw my Liverpool shirt, we ended up having a chat about #LFC, Mo Salah, #WorldCup2022, Leo Messi.  It was quite nice 😊 https://t.co/dYbIFSkDP0"
32,negative,negative,neutral,neutral,neutral,neutral,What happened in Turkish football today?#TurkishNationalTeam #CuneytCakir #WorldCup2022 https://t.co/2ctXYjpWMK https://t.co/e5gmUqf6sn
33,positive,positive,positive,neutral,neutral,positive,"🎸 Myself and @MeiEms  📍@TyPawb, Wrecsam 📅 29/11/22 🕰 5pm onwards  Come and join us for the build up to @Cymru vs @England in the World Cup.  (commentary in Welsh)  #WorldCup #WorldCup2022 https://t.co/kSL4yvghkh"
34,positive,negative,negative,positive,positive,neutral,#WorldCup2022 Let's go!! @Cristiano
35,neutral,negative,negative,neutral,positive,neutral,England ✅ @England #WorldCup2022 https://t.co/Zy3uPDRfWI
36,positive,negative,positive,negative,negative,neutral,"If the BBC cares so much about human rights, gay rights, and women rights then why not say these before the opening ceremony?? Why are they saying these during the opening ceremony?? Why did the BBC censor the #WorldCup2022 opening ceremony?? https://t.co/GmjpUEetmJ"
37,positive,neutral,neutral,neutral,neutral,neutral,The frist goal in the #worldcup2022 #QatarWorldCup2022 #Qatar2022 #Qatar #worldcup #Ecuador #edit #fyp #video #viral #ahmed_abdo https://t.co/T2TmsILt5m
38,neutral,negative,neutral,negative,negative,neutral,"With your looks, you couldn't even get with a football player in the 4th division   #QatarWorldCup2022 #Soccer #Football #WorldCup2022"
39,neutral,positive,positive,positive,positive,positive,Good evening from Qatar #WorldCup2022 https://t.co/VZuzMKEbbw
40,positive,positive,neutral,positive,positive,positive,Fans across the Middle East celebrate historic World Cup moment #Gaza #Qatar2022 #WorldCup2022  https://t.co/aWPFmbsOrj
41,positive,positive,negative,positive,positive,positive,"Get A+ grades by letting us handle your assignments We are committed to ensure we deliver quality, original work and within the stipulated time #Assignmentdue #Essaysdue #englandsquad #WorldCup2022 #EcuadorvsQatar"
42,positive,positive,negative,positive,positive,positive,Yes we can 🇨🇦 #WorldCup2022
43,positive,negative,positive,neutral,positive,positive,seems fine right? https://t.co/CvLuA1dW5X #WorldCup2022  #TheHobby
44,neutral,positive,positive,neutral,neutral,neutral,Who are you rooting for this year in the #WorldCup2022 ? #England
45,positive,positive,neutral,neutral,positive,positive,USA v Wales tomorrow. A must win? #WorldCup2022
46,positive,neutral,positive,neutral,neutral,negative,World Cup 2022: Ecuador defeats Qatar 2-0. #WorldCup #WorldCup2022 https://t.co/gZuTLPP2es
47,positive,neutral,positive,neutral,neutral,neutral,@MEXC_Global World Cup + England #MEXCWorldCup01 #WorldCup2022
48,neutral,negative,positive,negative,negative,negative,Will not boycott watching a few chosen games. The World Cup is still a spectacle but FIFA got it so badly wrong this year #FIFAWorldCup2022 #WorldCup2022
49,positive,negative,positive,neutral,neutral,positive,Group F of the NFT #WorldCup where the fate of a real team decides who is the ultimate NFT community includes: @DeGodsNFT  @MeebitsNFTs  @DegenApeAcademy  @okaybears   Which #NFTCommunity will win #worldcup2022 ?  Join our discord to talk more: https://t.co/fxRDTkUadl https://t.co/lxP4e404wu
50,positive,neutral,positive,positive,positive,positive,Viva Ecuador! 🇪🇨 We were ready! So exciting to be in the opening game and to win it! #WorldCup2022 Now we need USA 🇺🇸 to win Monday! https://t.co/T0r2RDbPU9
51,neutral,negative,neutral,positive,positive,positive,Video: #PresidentBiden wishes #USMNT good luck https://t.co/Kfb9OObjf3 #WorldCup #WorldCup2022 #Qatar2022 #Qatar
52,negative,neutral,neutral,positive,positive,positive,Equally amazing💪💜😊  #WorldCup  #WorldCup2022  #JUNGKOOKxFIFA  #JungkookAtFIFAWorldCup  @BTS_twt https://t.co/IzsLMV4Ct0
53,neutral,positive,negative,negative,negative,negative,@ARmastrangelo @Cernovich He’s being ridiculous. No excuse for #QatarWorldCup2022 #MiddleEast should’ve never hosted. #WorldCup2022
54,neutral,negative,positive,positive,positive,positive,MUST WATCH: English lads tell incredible story about partying at the Sheikh’s son’s house with exotic animals while on the hunt for beers in Qatar 😂  #WorldCup | #WorldCup2022  https://t.co/4WS13KNxPO
55,positive,negative,neutral,neutral,neutral,negative,@elonmusk Maybe @realDonaldTrump is just letting Twitter survive the #WorldCup2022 before the real stress test.
56,neutral,negative,neutral,neutral,negative,negative,if u look for the truth about something go to there sources not  sources of there enemy or at least two of them not like what western media shows  #hypocrisy  #WorldCup2022 #Qatar2022 #QatarWorldCup2022  #West #HumanRightsViolations
57,positive,neutral,positive,positive,neutral,positive,"No matter what will be #England and #iran #WorldCup2022  outcome , the things is football stand here as a fair game and to see how world react to iran situtaion! and sending message around the world for young poeple in particular to see that inclucivity is very important"
58,negative,neutral,neutral,positive,positive,positive,Hey @MarinaMarraco Can you feel the intensity of #WorldCup2022 in here? Are the @WashWizards having a good time at @CapitalOneArena?
59,positive,neutral,neutral,neutral,positive,neutral,This is my #usmntxi - let’s go ⁦@USMNT⁩ #USA #Qatar2022 #worldcup2022 https://t.co/8PJAAwPWep
60,neutral,negative,neutral,neutral,neutral,neutral,https://t.co/Hl7BxTYlh3 Fifa World cup day one- Qatar 0 - Ecuador 2 #WorldCup2022  #FIFAWorldCup2022  #Qatar2022  #EcuadorvsQatar  #CR7𓃵
61,positive,negative,positive,neutral,neutral,neutral,We’re open early at 12 on Monday for the England vs Iran game #WorldCup2022 #FIFAWorldCup2022   #notfifabychoice https://t.co/AcMIZFCali
62,negative,neutral,neutral,positive,neutral,positive,"During the #WorldCup2022 please take just a moment on #WorldChildrensDay to consider how the other half lives, or more appropriately...  dies.    Every child deserves a fair shot at life with the necessary food, shelter, clothing and education to succeed. https://t.co/DuHaDu0y9k"
63,neutral,positive,neutral,neutral,neutral,neutral,#WorldCup2022  Cup 2022: How to watch the matches online and on TV - NPR - https://t.co/nWrLmJH82M #GoogleAlerts
64,positive,positive,neutral,positive,positive,positive,Thank you for all 💜 #WorldCup  #WorldCup2022  #JUNGKOOKxFIFA  #JungkookAtFIFAWorldCup https://t.co/NqPB3W4kAN
65,positive,positive,positive,positive,positive,positive,This celebration is breaking controllers in Fifa 🔥 Best world cup opening ever!!  #SouthAfrica2010 #Qatar2022 #WorldCup2022 https://t.co/3kduwSuhfT
